Date,County,County_Code,SFY,FFY,Consortium,Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_15,Cell_16,Cell_17,Cell_7,Cell_8,Cell_18,Cell_9,Cell_10,Cell_11,Cell_12,Cell_19,Cell_20,Cell_13,Cell_14,Cell_21,Cell_22,Cell_23,Cell_24,Cell_25,Cell_26,Cell_27,Cell_28,Cell_29,Cell_30
11/01/2003,Statewide,00,2003-04,2004,n/a,"308,238","4,224",324,"380,480","6,215","4,338","688,718","10,439","4,662","831,578","912,457","1,744,035","9,530","5,096","17,424","7,982","26,954","13,078",975,"5,907","6,882","19,992","286,830","8,460","459,657","774,939",301,"$155,942,536","$1,445,704","$157,388,240"
11/01/2003,Alameda,01,2003-04,2004,CalWIN,"13,809",62,0,"9,237",59,105,"23,046",121,105,"35,351","23,647","58,998",123,64,143,62,266,126,0,136,136,0,0,0,"23,272","23,272",0,"$4,635,746","$28,842","$4,664,588"
11/01/2003,Alpine,02,2003-04,2004,C-IV,-999,0,0,28,0,0,33,0,0,19,67,86,0,0,0,0,0,0,0,0,0,33,0,0,0,33,0,"$6,449",$0,"$6,449"
11/01/2003,Amador,03,2003-04,2004,C-IV,137,0,0,288,-999,-999,425,-999,-999,347,605,952,0,0,-999,-999,-999,-999,0,-999,-999,416,0,66,0,482,0,"$86,193",$0,"$86,193"
11/01/2003,Butte,04,2003-04,2004,C-IV,"2,226",-999,-999,"3,637",21,-999,"5,863",30,-999,"6,238","8,920","15,158",43,11,99,23,142,34,-999,-999,12,"5,924",0,0,0,"5,924",0,"$1,287,102",$247,"$1,287,349"
11/01/2003,Calaveras,05,2003-04,2004,C-IV,204,0,-999,442,0,-999,646,0,-999,527,920,"1,447",0,0,0,0,0,0,-999,-999,-999,569,0,170,739,"1,478",0,"$132,698",$151,"$132,849"
11/01/2003,Colusa,06,2003-04,2004,C-IV,73,0,0,271,-999,-999,344,-999,-999,184,722,906,0,0,22,-999,22,-999,0,-999,-999,0,0,0,373,373,0,"$66,965",$360,"$67,325"
11/01/2003,Contra Costa,07,2003-04,2004,CalWIN,"6,166",136,-999,"2,980",53,26,"9,146",189,29,"16,963","6,085","23,048",399,155,147,100,546,255,-999,40,47,0,0,0,"10,233","10,233",0,"$1,958,095","$16,205","$1,974,300"
11/01/2003,Del Norte,08,2003-04,2004,C-IV,496,-999,0,855,-999,-999,"1,351",-999,-999,"1,440","1,819","3,259",-999,-999,16,-999,24,-999,0,-999,-999,0,0,0,"1,358","1,358",0,"$266,834",$370,"$267,204"
11/01/2003,El Dorado,09,2003-04,2004,C-IV,563,-999,0,"1,041",-999,-999,"1,604",13,-999,"1,496","2,011","3,507",-999,-999,22,-999,28,13,0,-999,-999,"1,569",0,35,181,"1,785",0,"$304,296","$2,283","$306,579"
